종목코드,기준일,지표,값
003460,2023-07-21,PER,17.6286
003470,2023-07-21,PBR,0.339
003470,2023-07-21,PCR,1.2071
003470,2023-07-21,PER,11.1354
003480,2023-07-21,PBR,0.2899
003480,2023-07-21,PCR,0.8186
003480,2023-07-21,PER,18.7989
003480,2023-07-21,PSR,0.0729
003490,2023-07-21,PBR,1.1055
003490,2023-07-21,PCR,1.7045
003490,2023-07-21,PER,6.5922
003490,2023-07-21,PSR,0.6455
003520,2023-07-21,PBR,4.812
003520,2023-07-21,PCR,-79.1484
003520,2023-07-21,PER,-22.1769
003520,2023-07-21,PSR,2.0838
003530,2023-07-21,PBR,0.3387
003530,2023-07-21,PCR,2.2859
003530,2023-07-21,PER,-9.8964
003540,2023-07-21,PBR,0.2496
003540,2023-07-21,PCR,-1.5912
003540,2023-07-21,PER,5.823
003550,2023-07-21,PBR,0.5171
003550,2023-07-21,PCR,15.0589
003550,2023-07-21,PER,11.1412
003550,2023-07-21,PSR,1.9525
003560,2023-07-21,PBR,0.4457
003560,2023-07-21,PCR,23.1635
003560,2023-07-21,PER,-0.4979
003560,2023-07-21,PSR,1.4056
003570,2023-07-21,PBR,0.4988
003570,2023-07-21,PCR,7.1256
003570,2023-07-21,PER,11.3911
003570,2023-07-21,PSR,0.7706
003580,2023-07-21,PBR,2.3033
003580,2023-07-21,PCR,-30.9394
003580,2023-07-21,PER,-13.0817
003580,2023-07-21,PSR,3.807
003610,2023-07-21,PBR,0.5017
003610,2023-07-21,PCR,-90.0136
003610,2023-07-21,PER,123.7688
003610,2023-07-21,PSR,0.6958
003620,2023-07-21,PBR,2.0964
003620,2023-07-21,PCR,-7.0871
003620,2023-07-21,PER,-121.3658
003620,2023-07-21,PSR,0.3838
003650,2023-07-21,PBR,0.3642
003650,2023-07-21,PCR,5.5972
003650,2023-07-21,PER,3.774
003650,2023-07-21,PSR,0.2733
003670,2023-07-21,PBR,14.2156
003670,2023-07-21,PCR,-137.0696
003670,2023-07-21,PER,301.314
003670,2023-07-21,PSR,10.0718
003680,2023-07-21,PBR,0.6421
003680,2023-07-21,PCR,11.1986
003680,2023-07-21,PER,36.0842
