일자,기준금리,CPI,실업률,환율
2023-03-20,3.5,4.8,2.6,1307.650024
2023-03-21,3.5,4.8,2.6,1304.939941
2023-03-22,3.5,4.8,2.6,1303.439941
2023-03-23,3.5,4.8,2.6,1298.25
2023-03-24,3.5,4.8,2.6,1286.290039
2023-03-27,3.5,4.8,2.6,1294.829956
2023-03-28,3.5,4.8,2.6,1297.800049
2023-03-29,3.5,4.8,2.6,1296.97998
2023-03-30,3.5,4.8,2.6,1307.130005
2023-03-31,3.5,4.8,2.6,1296.5
2023-04-03,3.5,4.8,2.6,1305.47998
2023-04-04,3.5,4.2,2.6,1308.050049
2023-04-05,3.5,4.2,2.6,1312.410034
2023-04-06,3.5,4.2,2.6,1316.209961
2023-04-07,3.5,4.2,2.6,1317.939941
2023-04-10,3.5,4.2,2.6,1315.449951
2023-04-11,3.5,4.2,2.6,1320.880005
2023-04-12,3.5,4.2,2.7,1322.089966
2023-04-13,3.5,4.2,2.7,1322.829956
2023-04-14,3.5,4.2,2.7,1301.430054
2023-04-17,3.5,4.2,2.7,1303.380005
2023-04-18,3.5,4.2,2.7,1316.069946
2023-04-19,3.5,4.2,2.7,1315.900024
2023-04-20,3.5,4.2,2.7,1326.76001
2023-04-21,3.5,4.2,2.7,1323.599976
2023-04-24,3.5,4.2,2.7,1329.380005
2023-04-25,3.5,4.2,2.7,1332.800049
2023-04-26,3.5,4.2,2.7,1341
2023-04-27,3.5,4.2,2.7,1337.829956
2023-04-28,3.5,4.2,2.7,1339.390015
2023-05-02,3.5,3.7,2.7,1342.790039
2023-05-03,3.5,3.7,2.7,1342.300049
2023-05-04,3.5,3.7,2.7,1335.22998
2023-05-08,3.5,3.7,2.7,1316.959961
2023-05-09,3.5,3.7,2.7,1322.410034
2023-05-10,3.5,3.7,2.6,1326.050049
2023-05-11,3.5,3.7,2.6,1318.050049
2023-05-12,3.5,3.7,2.6,1329.880005
2023-05-15,3.5,3.7,2.6,1341.52002
2023-05-16,3.5,3.7,2.6,1335.400024
2023-05-17,3.5,3.7,2.6,1342.430054
2023-05-18,3.5,3.7,2.6,1334.150024
2023-05-19,3.5,3.7,2.6,1334.73999
2023-05-22,3.5,3.7,2.6,1324.209961
2023-05-23,3.5,3.7,2.6,1313.829956
2023-05-24,3.5,3.7,2.6,1319.839966
2023-05-25,3.5,3.7,2.6,1318.52002
2023-05-26,3.5,3.7,2.6,1330.890015
2023-05-30,3.5,3.7,2.6,1324.589966
2023-05-31,3.5,3.7,2.6,1319.790039
2023-06-01,3.5,3.7,2.6,1321.73999
2023-06-02,3.5,3.3,2.6,1312.849976
2023-06-05,3.5,3.3,2.6,1305.140015
2023-06-07,3.5,3.3,2.6,1299.199951
2023-06-08,3.5,3.3,2.6,1308.339966
2023-06-09,3.5,3.3,2.6,1296.329956
2023-06-12,3.5,3.3,2.6,1286.689941
2023-06-13,3.5,3.3,2.6,1284.579956
2023-06-14,3.5,3.3,2.5,1267.619995
2023-06-15,3.5,3.3,2.5,1273.98999
2023-06-16,3.5,3.3,2.5,1270.050049
2023-06-19,3.5,3.3,2.5,1276.310059
2023-06-20,3.5,3.3,2.5,1283.23999
2023-06-21,3.5,3.3,2.5,1287.540039
2023-06-22,3.5,3.3,2.5,1288.380005
2023-06-23,3.5,3.3,2.5,1298.209961
2023-06-26,3.5,3.3,2.5,1307.670044
2023-06-27,3.5,3.3,2.5,1302.660034
2023-06-28,3.5,3.3,2.5,1296.599976
2023-06-29,3.5,3.3,2.5,1309.01001
2023-06-30,3.5,3.3,2.5,1323.069946
2023-07-03,3.5,3.3,2.5,1315.300049
2023-07-04,3.5,2.7,2.5,1306.099976
2023-07-05,3.5,2.7,2.5,1295.5
2023-07-06,3.5,2.7,2.5,1302.969971
2023-07-07,3.5,2.7,2.5,1309.219971
2023-07-10,3.5,2.7,2.5,1297.369995
2023-07-11,3.5,2.7,2.5,1299.540039
2023-07-12,3.5,2.7,2.6,1291.51001
2023-07-13,3.5,2.7,2.6,1274.699951
2023-07-14,3.5,2.7,2.6,1266.829956
2023-07-17,3.5,2.7,2.6,1268.339966
2023-07-18,3.5,2.7,2.6,1265.449951
2023-07-19,3.5,2.7,2.6,1264.939941
2023-07-20,3.5,2.7,2.6,1265.089966
2023-07-21,3.5,2.7,2.6,1278.400024
2023-07-24,3.5,2.7,2.6,1285.650024
2023-07-25,3.5,2.7,2.6,1280.530029
2023-07-26,3.5,2.7,2.6,1274.119995
2023-07-27,3.5,2.7,2.6,1275.170044
2023-07-28,3.5,2.7,2.6,1272.810059
